league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
ESP-La Liga,2324,Cádiz,Alejandro Morata,ESP,DF,17-209,2006,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Cádiz,Aristide Njalla,CMR,MF,20-293,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Cádiz,Brian Ocampo,URU,MF,24-220,1999,8,130,16,6.6,1.4,0,,0,8,16,1,0.5,0,2,-2,-1.38,-0.7,0.9,2.8,-1.9,-1.3,-0.7
ESP-La Liga,2324,Cádiz,Chris Ramos,ESP,"FW,MF",27-013,1997,22,1676,76,84.6,18.6,20,81,8,2,27,0,0.73,14,25,-11,-0.59,0.89,14.9,27.3,-12.4,-0.67,-0.15
ESP-La Liga,2324,Cádiz,Darwin Machís,VEN,MF,30-358,1993,15,720,48,36.4,8.0,10,60,1,5,23,3,0.87,10,12,-2,-0.25,0.75,8.8,10.9,-2.1,-0.26,0.6
ESP-La Liga,2324,Cádiz,David Gil,ESP,GK,30-020,1994,4,282,71,14.2,3.1,3,90,3,1,12,17,0.75,2,2,0,0.0,0.85,1.8,4.2,-2.4,-0.77,-0.14
ESP-La Liga,2324,Cádiz,Fali,ESP,DF,30-172,1993,21,1762,84,89.0,19.6,21,84,17,0,,0,0.76,15,25,-10,-0.51,1.97,16.5,28.2,-11.8,-0.6,0.4
ESP-La Liga,2324,Cádiz,Fede San Emeterio,ESP,MF,26-321,1997,4,152,38,7.7,1.7,3,50,0,1,1,5,1.0,1,2,-1,-0.59,0.15,1.7,2.9,-1.3,-0.75,-0.11
ESP-La Liga,2324,Cádiz,Gonzalo Escalante,ARG,MF,30-310,1993,14,929,66,46.9,10.3,9,83,4,5,37,0,0.79,6,16,-10,-0.97,-0.45,7.0,12.1,-5.1,-0.5,0.28
ESP-La Liga,2324,Cádiz,Isaac Carcelen,ESP,DF,30-283,1993,21,1654,79,83.5,18.4,19,85,16,2,16,1,0.76,13,23,-10,-0.54,1.11,15.3,25.4,-10.1,-0.55,0.58
ESP-La Liga,2324,Cádiz,Iván Alejo,ESP,MF,28-355,1995,20,1379,69,69.6,15.3,18,73,3,2,35,0,0.8,12,19,-7,-0.46,0.89,13.8,19.6,-5.8,-0.38,0.88
ESP-La Liga,2324,Cádiz,Javi Hernández,ESP,DF,25-274,1998,18,1489,83,75.2,16.5,17,88,15,1,1,2,0.78,14,27,-13,-0.79,-0.24,13.5,25.5,-11.9,-0.72,-0.31
ESP-La Liga,2324,Cádiz,Jeremías Ledesma,ARG,GK,30-352,1993,19,1698,89,85.8,18.9,19,89,18,0,,0,0.68,13,29,-16,-0.85,-0.85,16.1,27.9,-11.8,-0.62,0.14
ESP-La Liga,2324,Cádiz,Jorge Meré,ESP,DF,26-289,1997,6,328,55,16.6,3.6,4,70,0,2,25,11,0.83,3,8,-5,-1.37,-0.77,1.2,6.0,-4.8,-1.32,-0.81
ESP-La Liga,2324,Cádiz,Joseba Zaldúa,ESP,DF,31-221,1992,5,276,55,13.9,3.1,3,75,0,2,26,16,0.4,2,6,-4,-1.3,-0.67,1.9,5.4,-3.5,-1.15,-0.58
ESP-La Liga,2324,Cádiz,José Antonio,ESP,FW,19-187,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2324,Cádiz,José Mari,ESP,"MF,FW",36-056,1987,3,14,5,0.7,0.2,0,,0,3,5,14,1.25,2,3,-1,-6.43,-5.74,0.2,0.5,-0.2,-1.43,-0.79
