league,season,team,player,nation,pos,age,born,Playing Time,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
,,,,,,,,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
ESP-La Liga,2324,Girona,Aleix García,ESP,MF,26-217,1997,21,1879,89,94.9,20.9,21,89,20,0,,0,2.48,47,24,23,1.1,-2.46,37.3,28.9,8.3,0.4,-0.42
ESP-La Liga,2324,Girona,Antal Yaakobishvili,HUN,DF,19-203,2004,1,61,61,3.1,0.7,0,,0,1,61,2,3.0,2,0,2,2.95,1.78,1.5,0.4,1.1,1.55,1.17
ESP-La Liga,2324,Girona,Arnau Martinez,ESP,DF,20-281,2003,14,919,66,46.4,10.2,11,79,4,3,16,7,2.57,16,7,9,0.88,-0.65,14.5,12.8,1.8,0.17,-0.46
ESP-La Liga,2324,Girona,Artem Dovbyk,UKR,FW,26-224,1997,21,1334,64,67.4,14.8,17,72,3,4,26,0,2.57,37,16,21,1.42,0.58,28.7,19.2,9.5,0.64,0.67
ESP-La Liga,2324,Girona,Bernardo Espinosa,COL,DF,34-204,1989,2,2,1,0.1,0.0,0,,0,2,1,11,2.0,0,0,0,0.0,-1.23,0.2,0.3,-0.1,-3.28,-3.71
ESP-La Liga,2324,Girona,Borja García,ESP,"FW,MF",33-090,1990,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2324,Girona,Cristhian Stuani,URU,FW,37-111,1986,20,640,32,32.3,7.1,5,65,0,15,21,1,2.45,17,9,8,1.13,-0.15,11.9,11.2,0.7,0.1,-0.48
ESP-La Liga,2324,Girona,Daley Blind,NED,DF,33-328,1990,22,1892,86,95.6,21.0,21,90,20,1,3,0,2.5,50,24,26,1.24,0.21,37.6,28.5,9.1,0.43,0.3
ESP-La Liga,2324,Girona,David López,ESP,"DF,MF",34-114,1989,15,1188,79,60.0,13.2,15,79,10,0,,1,2.53,31,15,16,1.21,-0.04,22.4,18.2,4.2,0.32,-0.26
ESP-La Liga,2324,Girona,Eric García,ESP,DF,23-022,2001,14,1220,87,61.6,13.6,14,87,11,0,,1,2.5,37,20,17,1.25,0.07,29.2,21.7,7.5,0.55,0.34
ESP-La Liga,2324,Girona,Eric Monjonell,ESP,DF,22-046,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2324,Girona,Ibrahima Kebe,MLI,MF,23-182,2000,2,9,5,0.5,0.1,0,,0,2,5,15,2.0,0,0,0,0.0,-1.23,0.1,0.3,-0.2,-1.57,-2.0
ESP-La Liga,2324,Girona,Iker Almena,ESP,FW,19-272,2004,0,,,,,0,,0,0,,5,,,,,,,,,,,
ESP-La Liga,2324,Girona,Iván Martín,ESP,"MF,FW",24-351,1999,21,1583,75,79.9,17.6,19,82,7,2,14,1,2.62,42,19,23,1.31,0.4,31.4,23.9,7.5,0.43,0.03
ESP-La Liga,2324,Girona,Jastin García,ESP,FW,20-016,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Girona,Jhon Solis,COL,MF,19-120,2004,8,132,17,6.7,1.5,0,,0,8,17,10,2.13,3,2,1,0.68,-0.58,2.5,2.6,-0.1,-0.09,-0.55
ESP-La Liga,2324,Girona,Juan Carlos,ESP,GK,36-011,1988,0,,,,,0,,0,0,,16,,,,,,,,,,,
ESP-La Liga,2324,Girona,Juanpe,ESP,DF,32-276,1991,9,309,34,15.6,3.4,2,60,1,7,27,12,2.56,6,4,2,0.58,-0.76,5.1,4.6,0.4,0.12,-0.35
ESP-La Liga,2324,Girona,Manu Vallejo,ESP,"FW,MF",26-351,1997,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2324,Girona,Miguel Gutiérrez,ESP,"DF,MF",22-188,2001,21,1861,89,94.0,20.7,21,89,20,0,,1,2.48,47,22,25,1.21,-0.3,35.9,28.2,7.7,0.37,-0.79
ESP-La Liga,2324,Girona,Pablo Torre,ESP,"MF,FW",20-303,2003,15,438,29,22.1,4.9,3,62,0,12,21,6,2.27,7,6,1,0.21,-1.31,6.3,7.7,-1.4,-0.29,-0.91
ESP-La Liga,2324,Girona,Paulo Gazzaniga,ARG,GK,32-029,1992,22,1980,90,100.0,22.0,22,90,22,0,,0,2.5,52,25,27,1.23,,39.6,30.4,9.2,0.42,
ESP-La Liga,2324,Girona,Portu,ESP,"MF,FW",31-255,1992,17,479,28,24.2,5.3,3,74,1,14,18,2,2.59,21,7,14,2.63,1.85,12.9,6.5,6.4,1.21,1.04
ESP-La Liga,2324,Girona,Ricard Artero,ESP,MF,20-360,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2324,Girona,Santiago Bueno,URU,DF,25-083,1998,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Girona,Silvi Clúa,ESP,MF,19-002,2005,1,1,1,0.1,0.0,0,,0,1,1,3,3.0,0,0,0,0.0,-1.23,0.2,0.0,0.2,22.23,21.82
ESP-La Liga,2324,Girona,Sávio,BRA,"MF,FW",19-296,2004,22,1724,78,87.1,19.2,21,81,7,1,24,0,2.5,47,22,25,1.31,0.6,36.3,26.4,9.8,0.51,0.73
ESP-La Liga,2324,Girona,Toni Fuidias,ESP,GK,22-291,2001,0,,,,,0,,0,0,,22,,,,,,,,,,,
ESP-La Liga,2324,Girona,Valery Fernández,ESP,"MF,DF",24-069,1999,18,403,22,20.4,4.5,2,62,0,16,17,3,2.39,10,8,2,0.45,-0.98,8.1,8.5,-0.4,-0.09,-0.63
ESP-La Liga,2324,Girona,Viktor Tsyhankov,UKR,"MF,DF",26-077,1997,17,1133,67,57.2,12.6,14,76,3,3,22,0,2.47,32,12,20,1.59,0.84,22.3,18.3,4.0,0.32,-0.24
ESP-La Liga,2324,Girona,Yan Couto,BRA,"DF,MF",21-242,2002,21,1335,64,67.4,14.8,15,81,8,6,21,1,2.48,36,18,18,1.21,-0.04,26.7,18.3,8.4,0.57,0.45
ESP-La Liga,2324,Girona,Yangel Herrera,VEN,MF,26-017,1998,17,1247,73,63.0,13.9,16,77,6,1,20,1,2.59,32,15,17,1.23,0.0,24.8,16.2,8.6,0.62,0.54
ESP-La Liga,2324,Granada,Adri Bosch,ESP,DF,22-236,2001,1,26,26,1.3,0.3,0,,0,1,26,10,0.0,2,2,0,0.0,1.01,0.7,1.6,-0.9,-3.16,-2.66
ESP-La Liga,2324,Granada,Adrián López,ESP,GK,25-022,1999,0,,,,,0,,0,0,,17,,,,,,,,,,,
ESP-La Liga,2324,Granada,Alberto Perea,ESP,"MF,FW",33-043,1990,2,2,1,0.1,0.0,0,,0,2,1,12,1.5,0,0,0,0.0,1.0,0.3,0.9,-0.6,-25.41,-24.91
ESP-La Liga,2324,Granada,Alberto Soro,ESP,MF,24-328,1999,1,8,8,0.4,0.1,0,,0,1,8,1,3.0,0,1,-1,-11.25,-10.29,0.1,0.6,-0.5,-5.81,-5.3
ESP-La Liga,2324,Granada,André Ferreira,POR,GK,27-247,1996,15,1340,89,67.7,14.9,14,90,14,1,80,6,0.33,12,29,-17,-1.14,-0.44,15.9,24.6,-8.7,-0.59,-0.18
ESP-La Liga,2324,Granada,Antonio Puertas,ESP,"MF,FW",31-344,1992,21,621,30,31.4,6.9,5,76,1,16,15,0,0.38,9,18,-9,-1.3,-0.44,10.2,11.7,-1.6,-0.23,0.44
ESP-La Liga,2324,Granada,Augusto Batalla,ARG,GK,27-276,1996,4,360,90,18.2,4.0,4,90,4,0,,0,0.75,2,4,-2,-0.5,0.61,6.0,5.1,1.0,0.24,0.95
ESP-La Liga,2324,Granada,Bruno Méndez,URU,DF,24-143,1999,4,347,87,17.5,3.9,4,87,2,0,,0,0.75,2,4,-2,-0.52,0.58,5.4,5.0,0.4,0.12,0.78
ESP-La Liga,2324,Granada,Bryan Zaragoza,ESP,"MF,FW",22-281,2001,21,1638,78,82.7,18.2,18,87,13,3,27,0,0.52,19,37,-18,-0.99,0.06,22.0,32.2,-10.2,-0.56,-0.17
ESP-La Liga,2324,Granada,Carlos Neva,ESP,DF,27-233,1996,22,1888,86,95.4,21.0,22,86,15,0,,0,0.5,21,41,-20,-0.95,1.0,24.5,36.1,-11.7,-0.56,-0.55
ESP-La Liga,2324,Granada,Eghosa Bello,NGA,FW,19-320,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Granada,Faitout Maouassa,FRA,DF,25-209,1998,1,3,3,0.2,0.0,0,,0,1,3,0,0.0,0,0,0,0.0,1.0,0.1,0.0,0.1,2.83,3.37
ESP-La Liga,2324,Granada,Famara Diedhiou,SEN,"FW,MF",31-047,1992,8,89,11,4.5,1.0,0,,0,8,11,8,0.5,2,3,-1,-1.01,-0.01,2.2,2.0,0.2,0.2,0.77
ESP-La Liga,2324,Granada,Fran Árbol,ESP,GK,17-215,2006,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2324,Granada,Gerard Gumbau,ESP,MF,29-044,1994,20,1583,79,79.9,17.6,19,82,10,1,23,0,0.4,16,39,-23,-1.31,-1.53,17.5,29.3,-11.8,-0.67,-0.7
ESP-La Liga,2324,Granada,Gonzalo Villar,ESP,MF,25-314,1998,20,1201,60,60.7,13.3,14,75,4,6,26,0,0.4,16,24,-8,-0.6,1.02,17.8,22.1,-4.3,-0.32,0.53
ESP-La Liga,2324,Granada,Ignasi Miquel,ESP,DF,31-125,1992,22,1935,88,97.7,21.5,22,88,21,0,,0,0.5,19,44,-25,-1.16,-7.16,23.3,36.9,-13.5,-0.63,-4.38
ESP-La Liga,2324,Granada,Jesús Vallejo,ESP,DF,27-026,1997,3,108,36,5.5,1.2,1,90,1,2,9,1,1.33,1,4,-3,-2.5,-1.59,1.6,3.2,-1.6,-1.31,-0.83
ESP-La Liga,2324,Granada,José Callejón,ESP,"MF,FW",36-354,1987,18,621,35,31.4,6.9,7,65,0,11,15,4,0.61,6,13,-7,-1.01,-0.02,7.7,14.3,-6.6,-0.96,-0.63
ESP-La Liga,2324,Granada,Kamil Piątkowski,POL,DF,23-224,2000,1,90,90,4.5,1.0,1,90,1,0,,1,0.0,0,1,-1,-1.0,0.0,0.5,1.8,-1.3,-1.26,-0.76
ESP-La Liga,2324,Granada,Lassina Sangare,CIV,MF,22-072,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2324,Granada,Lucas Boyé,ARG,FW,27-337,1996,17,1393,82,70.4,15.5,17,82,7,0,,0,0.47,15,30,-15,-0.97,0.1,15.8,24.8,-9.0,-0.58,-0.17
ESP-La Liga,2324,Granada,Marc Martínez,ESP,GK,33-302,1990,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Granada,Mario González,ESP,MF,19-360,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Granada,Martin Hongla,CMR,MF,25-321,1998,1,4,4,0.2,0.0,0,,0,1,4,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.5,1.04
ESP-La Liga,2324,Granada,Matias Arezo,URU,FW,21-071,2002,4,148,37,7.5,1.6,1,90,1,3,19,0,0.75,0,3,-3,-1.82,-0.89,3.0,2.3,0.7,0.41,1.02
ESP-La Liga,2324,Granada,Miguel Ángel Rubio,ESP,DF,25-326,1998,8,571,71,28.8,6.3,6,86,5,2,29,7,1.0,10,14,-4,-0.63,0.52,8.0,13.0,-5.0,-0.79,-0.37
ESP-La Liga,2324,Granada,Myrto Uzuni,ALB,"FW,MF",28-245,1995,22,1629,74,82.3,18.1,19,81,9,3,30,0,0.5,19,35,-16,-0.88,0.65,19.3,29.9,-10.6,-0.58,-0.3
ESP-La Liga,2324,Granada,Njegoš Petrović,SRB,"MF,FW",24-197,1999,10,157,16,7.9,1.7,0,,0,10,16,10,0.6,0,3,-3,-1.72,-0.78,2.1,5.4,-3.3,-1.88,-1.47
ESP-La Liga,2324,Granada,Pablo Saenz,,FW,,,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Granada,Pol Tristán,ESP,GK,21-319,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Granada,Raúl Fernández,ESP,GK,35-324,1988,4,280,70,14.1,3.1,4,70,3,0,,5,0.75,8,11,-3,-0.96,0.04,3.8,7.7,-3.9,-1.25,-0.84
ESP-La Liga,2324,Granada,Raúl Torrente,ESP,DF,22-142,2001,13,1034,80,52.2,11.5,11,88,10,2,31,5,0.38,11,21,-10,-0.87,0.27,13.9,17.1,-3.2,-0.28,0.52
ESP-La Liga,2324,Granada,Ricard Sánchez,ESP,DF,23-343,2000,20,1525,76,77.0,16.9,17,87,9,3,18,1,0.5,19,33,-14,-0.83,0.76,20.7,26.6,-5.9,-0.35,0.8
ESP-La Liga,2324,Granada,Samuel Omorodion,ESP,FW,19-271,2004,1,80,80,4.0,0.9,1,80,0,0,,0,0.0,1,2,-1,-1.13,-0.13,0.8,1.9,-1.1,-1.26,-0.76
ESP-La Liga,2324,Granada,Sergio Ruiz,ESP,MF,29-046,1994,20,1300,65,65.7,14.4,15,80,6,5,20,1,0.52,14,28,-14,-0.97,0.09,16.1,20.8,-4.7,-0.32,0.6
ESP-La Liga,2324,Granada,Shon Weissman,ISR,FW,27-351,1996,5,82,16,4.1,0.9,0,,0,5,16,6,0.4,1,0,1,1.1,2.19,2.2,1.2,1.0,1.07,1.66
ESP-La Liga,2324,Granada,Víctor Díaz,ESP,"DF,MF",35-233,1988,4,162,41,8.2,1.8,2,63,0,2,19,14,0.75,1,8,-7,-3.89,-3.15,0.6,3.5,-2.9,-1.61,-1.17
ESP-La Liga,2324,Granada,Wilson Manafá,POR,"DF,MF",29-192,1994,4,240,60,12.1,2.7,3,77,1,1,9,14,0.25,1,6,-5,-1.87,-1.0,2.1,4.4,-2.2,-0.84,-0.35
ESP-La Liga,2324,Granada,Álvaro Carreras,ESP,"MF,FW",20-314,2003,13,475,37,24.0,5.3,5,67,0,8,18,2,0.46,10,11,-1,-0.19,1.07,8.7,7.3,1.4,0.27,1.05
ESP-La Liga,2324,Granada,Óscar Melendo,ESP,"MF,FW",26-161,1997,16,820,51,41.4,9.1,10,70,0,6,20,6,0.31,7,17,-10,-1.1,-0.17,9.2,15.6,-6.4,-0.7,-0.3
ESP-La Liga,2324,Las Palmas,Aarón Escandell,ESP,GK,28-126,1995,0,,,,,0,,0,0,,22,,,,,,,,,,,
ESP-La Liga,2324,Las Palmas,Alberto Moleiro,ESP,"FW,MF",20-123,2003,12,714,60,36.1,7.9,9,70,1,3,27,0,1.67,12,6,6,0.76,0.97,5.9,11.2,-5.3,-0.66,-0.02
ESP-La Liga,2324,Las Palmas,Ale Gorrin,ESP,GK,21-176,2002,0,,,,,0,,0,0,,15,,,,,,,,,,,
ESP-La Liga,2324,Las Palmas,Benito Ramírez,ESP,"FW,MF",28-204,1995,10,155,16,7.8,1.7,0,,0,10,16,6,1.7,2,3,-1,-0.58,-0.78,1.4,3.8,-2.4,-1.39,-0.8
ESP-La Liga,2324,Las Palmas,Cristian Herrera,ESP,FW,32-324,1991,6,127,21,6.4,1.4,1,90,1,5,7,16,2.17,2,4,-2,-1.42,-1.66,1.7,3.6,-1.9,-1.32,-0.72
ESP-La Liga,2324,Las Palmas,Daley Sinkgraven,NED,DF,28-211,1995,7,242,35,12.2,2.7,4,55,1,3,7,10,1.14,4,2,2,0.74,0.69,1.8,4.8,-3.0,-1.2,-0.62
ESP-La Liga,2324,Las Palmas,Enzo Loiodice,FRA,MF,23-065,2000,22,1142,52,57.7,12.7,12,78,4,10,20,0,1.41,8,10,-2,-0.16,-0.69,9.9,18.0,-8.0,-0.63,0.04
ESP-La Liga,2324,Las Palmas,Eric Curbelo,ESP,DF,30-017,1994,1,90,90,4.5,1.0,1,90,1,0,,12,0.0,0,2,-2,-2.0,-2.24,0.7,1.7,-1.0,-0.98,-0.35
ESP-La Liga,2324,Las Palmas,Fabio González,ESP,MF,26-353,1997,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2324,Las Palmas,Francisco Jesús Crespo García,ESP,FW,27-186,1996,11,441,40,22.3,4.9,6,60,0,5,16,9,1.0,3,4,-1,-0.2,-0.44,5.1,7.2,-2.2,-0.44,0.27
ESP-La Liga,2324,Las Palmas,Iñaki González,ESP,MF,19-188,2004,1,5,5,0.3,0.1,0,,0,1,5,6,3.0,0,0,0,0.0,-0.14,0.2,0.1,0.1,2.2,2.86
ESP-La Liga,2324,Las Palmas,Javier Muñoz,ESP,MF,28-337,1995,22,1596,73,80.6,17.7,18,85,11,4,15,0,1.41,20,16,4,0.23,0.46,13.4,28.7,-15.2,-0.86,-1.07
ESP-La Liga,2324,Las Palmas,Jonathan Viera,ESP,"MF,FW",34-102,1989,9,617,69,31.2,6.9,7,82,3,2,22,0,1.22,3,7,-4,-0.58,-1.05,6.4,8.6,-2.2,-0.32,0.49
ESP-La Liga,2324,Las Palmas,Juan Herzog,ESP,DF,20-263,2003,3,202,67,10.2,2.2,2,90,2,1,22,10,2.0,5,1,4,1.78,1.83,1.5,3.8,-2.3,-1.01,-0.4
ESP-La Liga,2324,Las Palmas,Julian Araujo,MEX,DF,22-171,2001,16,996,62,50.3,11.1,10,81,8,6,30,1,1.31,7,9,-2,-0.18,-0.64,8.0,16.1,-8.1,-0.74,-0.17
ESP-La Liga,2324,Las Palmas,Kirian Rodríguez,ESP,MF,27-332,1996,21,1771,84,89.4,19.7,20,86,13,1,45,0,1.48,22,16,6,0.3,1.6,16.2,25.9,-9.6,-0.49,1.54
ESP-La Liga,2324,Las Palmas,Marc Cardona,ESP,FW,28-207,1995,13,420,32,21.2,4.7,5,64,0,8,12,7,1.43,7,4,3,0.64,0.64,6.3,6.6,-0.3,-0.07,0.75
ESP-La Liga,2324,Las Palmas,Marvin,ESP,"FW,MF",23-212,2000,17,776,46,39.2,8.6,6,72,0,11,31,1,1.71,10,7,3,0.35,0.35,7.6,13.1,-5.5,-0.64,0.02
ESP-La Liga,2324,Las Palmas,Mika Màrmol,ESP,DF,21-213,2002,20,1758,88,88.8,19.5,20,88,18,0,,1,1.5,20,16,4,0.2,0.61,15.9,29.1,-13.1,-0.67,-0.18
ESP-La Liga,2324,Las Palmas,Munir El Haddadi,MAR,FW,28-152,1995,22,1648,75,83.2,18.3,21,77,3,1,27,0,1.41,18,9,9,0.49,2.12,13.9,23.8,-9.9,-0.54,0.67
ESP-La Liga,2324,Las Palmas,Máximo Perrone,ARG,MF,21-024,2003,19,1019,54,51.5,11.3,11,76,5,8,23,0,1.53,13,10,3,0.26,0.26,9.3,18.8,-9.6,-0.84,-0.4
ESP-La Liga,2324,Las Palmas,Omenuke Mfulu,COD,"MF,FW",29-317,1994,5,82,16,4.1,0.9,1,45,0,4,9,10,0.83,1,3,-2,-2.2,-2.43,0.3,2.9,-2.6,-2.94,-2.39
ESP-La Liga,2324,Las Palmas,Pau Ferrer,ESP,FW,20-106,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Las Palmas,Sandro Ramírez,ESP,FW,28-206,1995,11,782,71,39.5,8.7,9,81,3,2,29,3,1.0,8,6,2,0.23,0.16,6.2,12.9,-6.7,-0.77,-0.19
ESP-La Liga,2324,Las Palmas,Saúl Coco,EQG,DF,24-356,1999,16,1209,76,61.1,13.4,13,87,12,3,28,3,1.38,14,13,1,0.07,-0.16,11.2,20.2,-9.0,-0.67,-0.05
ESP-La Liga,2324,Las Palmas,Sergi Cardona,ESP,DF,24-207,1999,21,1734,83,87.6,19.3,18,89,17,3,47,0,1.43,20,17,3,0.16,0.16,16.2,27.2,-11.0,-0.57,0.64
ESP-La Liga,2324,Las Palmas,Sory Kaba,GUI,FW,28-187,1995,13,586,45,29.6,6.5,7,69,2,6,18,7,1.31,2,7,-5,-0.77,-1.28,4.8,10.0,-5.2,-0.8,-0.21
ESP-La Liga,2324,Las Palmas,Álex Suárez,ESP,DF,30-319,1993,18,1460,81,73.7,16.2,17,86,14,1,1,4,1.33,18,15,3,0.18,0.18,13.5,21.0,-7.4,-0.46,0.73
ESP-La Liga,2324,Las Palmas,Álvaro Lemos,ESP,DF,30-307,1993,3,194,65,9.8,2.2,2,68,1,1,59,8,1.33,3,2,1,0.46,0.36,2.7,3.3,-0.6,-0.28,0.41
ESP-La Liga,2324,Las Palmas,Álvaro Vallés,ESP,GK,26-190,1997,22,1980,90,100.0,22.0,22,90,22,0,,0,1.41,22,19,3,0.14,,18.1,32.4,-14.3,-0.65,
ESP-La Liga,2324,Mallorca,Abdón Prats,ESP,"FW,MF",31-055,1992,19,818,43,41.3,9.1,9,71,3,10,18,3,0.84,10,9,1,0.11,0.73,11.4,8.9,2.5,0.27,0.68
ESP-La Liga,2324,Mallorca,Alex Quevedo,ESP,GK,19-278,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Mallorca,Amath,SEN,"FW,MF",27-199,1996,15,394,26,19.9,4.4,3,63,0,12,17,7,0.87,3,4,-1,-0.23,0.11,7.1,6.2,0.9,0.21,0.42
ESP-La Liga,2324,Mallorca,Antonio Raillo,ESP,DF,32-115,1991,12,981,82,49.5,10.9,11,85,9,1,45,2,1.0,8,9,-1,-0.09,0.45,10.8,10.5,0.3,0.03,0.32
ESP-La Liga,2324,Mallorca,Antonio Sánchez,ESP,"MF,FW",27-030,1997,16,872,55,44.0,9.7,13,65,0,3,8,6,1.06,11,9,2,0.21,0.94,9.8,11.0,-1.1,-0.12,0.02
ESP-La Liga,2324,Mallorca,Copete,ESP,DF,24-113,1999,9,636,71,32.1,7.1,8,78,4,1,12,12,0.78,6,12,-6,-0.85,-0.78,9.0,10.1,-1.1,-0.16,-0.04
ESP-La Liga,2324,Mallorca,Cyle Larin,CAN,FW,28-289,1995,21,1082,52,54.6,12.0,11,72,2,10,29,1,0.9,11,11,0,0.0,0.7,14.1,13.6,0.5,0.04,0.38
ESP-La Liga,2324,Mallorca,Dani Rodríguez,ESP,"MF,FW",35-239,1988,21,1637,78,82.7,18.2,19,83,7,2,32,0,0.9,18,22,-4,-0.22,0.57,18.5,22.2,-3.7,-0.2,-0.43
ESP-La Liga,2324,Mallorca,Daniel Luna,COL,MF,20-269,2003,0,,,,,0,,0,0,,13,,,,,,,,,,,
ESP-La Liga,2324,Mallorca,David López,ESP,DF,20-362,2003,0,,,,,0,,0,0,,12,,,,,,,,,,,
ESP-La Liga,2324,Mallorca,Dominik Greif,SVK,GK,26-300,1997,0,,,,,0,,0,0,,22,,,,,,,,,,,
ESP-La Liga,2324,Mallorca,Giovanni González,URU,DF,29-133,1994,20,1379,69,69.6,15.3,15,81,10,5,32,1,0.95,10,17,-7,-0.46,-0.46,18.3,17.8,0.5,0.03,0.53
ESP-La Liga,2324,Mallorca,Iván Cuéllar,ESP,GK,39-249,1984,0,,,,,0,,0,0,,17,,,,,,,,,,,
ESP-La Liga,2324,Mallorca,Jaume Costa,ESP,DF,35-319,1988,19,978,51,49.4,10.9,11,73,4,8,22,1,1.0,11,14,-3,-0.28,0.08,13.2,12.8,0.5,0.04,0.34
ESP-La Liga,2324,Mallorca,Javier Llabrés,ESP,"MF,FW",21-142,2002,12,151,13,7.6,1.7,0,,0,12,13,10,0.75,2,1,1,0.6,0.99,3.9,2.2,1.7,1.0,1.22
ESP-La Liga,2324,Mallorca,Manu Morlanes,ESP,MF,25-019,1999,19,811,43,41.0,9.0,9,72,1,10,16,2,1.0,7,11,-4,-0.44,-0.21,9.2,12.2,-2.9,-0.32,-0.33
ESP-La Liga,2324,Mallorca,Marcos Fernández Cózar,,DF,20-198,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,
ESP-La Liga,2324,Mallorca,Martin Valjent,SVK,DF,28-051,1995,18,1520,84,76.8,16.9,18,84,15,0,,0,0.83,15,21,-6,-0.36,-0.16,17.5,21.6,-4.1,-0.24,-0.49
ESP-La Liga,2324,Mallorca,Matija Nastasić,SRB,DF,30-309,1993,16,1358,85,68.6,15.1,15,90,15,1,8,2,1.0,14,19,-5,-0.33,-0.04,15.9,21.2,-5.3,-0.35,-0.71
ESP-La Liga,2324,Mallorca,Miguelito,ESP,DF,23-019,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,
ESP-La Liga,2324,Mallorca,Nacho Vidal,ESP,DF,29-007,1995,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Mallorca,Omar Mascarell,ESP,MF,30-363,1993,15,723,48,36.5,8.0,8,68,2,7,25,4,0.73,3,10,-7,-0.87,-0.87,8.9,8.3,0.6,0.08,0.33
ESP-La Liga,2324,Mallorca,Pablo Maffeo,ESP,DF,26-203,1997,17,1122,66,56.7,12.5,13,82,10,4,14,0,1.0,14,16,-2,-0.16,0.36,14.9,15.6,-0.7,-0.05,0.19
ESP-La Liga,2324,Mallorca,Pau Mascaró,ESP,FW,19-103,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,
ESP-La Liga,2324,Mallorca,Pere Joan,ESP,GK,21-315,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2324,Mallorca,Predrag Rajković,SRB,GK,28-092,1995,22,1980,90,100.0,22.0,22,90,22,0,,0,0.91,19,26,-7,-0.32,,24.5,27.3,-2.8,-0.13,
ESP-La Liga,2324,Mallorca,Rubén Quintanilla,ESP,MF,21-303,2002,0,,,,,0,,0,0,,8,,,,,,,,,,,
ESP-La Liga,2324,Mallorca,Samu Costa,POR,MF,23-065,2000,22,1674,76,84.5,18.6,19,82,13,3,37,0,0.91,15,22,-7,-0.38,-0.38,18.9,24.1,-5.2,-0.28,-0.97
ESP-La Liga,2324,Mallorca,Sergi Darder,ESP,"MF,FW",30-040,1993,20,1340,67,67.7,14.9,13,86,7,7,33,0,0.95,12,19,-7,-0.47,-0.47,16.3,18.6,-2.4,-0.16,-0.09
ESP-La Liga,2324,Mallorca,Siebe Van Der Heyden,BEL,DF,25-246,1998,6,286,48,14.4,3.2,4,67,1,2,9,16,1.0,2,4,-2,-0.63,-0.36,2.5,4.9,-2.3,-0.74,-0.71
ESP-La Liga,2324,Mallorca,Toni Lato,ESP,DF,26-071,1997,16,891,56,45.0,9.9,9,75,0,7,31,3,0.88,7,11,-4,-0.4,-0.16,9.9,12.5,-2.6,-0.26,-0.24
ESP-La Liga,2324,Mallorca,Vedat Muriqi,KVX,FW,29-282,1994,14,1101,79,55.6,12.2,12,88,9,2,22,0,0.71,11,18,-7,-0.57,-0.57,13.9,17.3,-3.3,-0.27,-0.32
ESP-La Liga,2324,Mallorca,Yuzún Ley,ESP,DF,20-030,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,
ESP-La Liga,2324,Osasuna,Aimar Oroz,ESP,MF,22-065,2001,21,1556,74,82.3,17.3,18,82,5,3,28,0,1.24,19,25,-6,-0.35,-0.35,18.1,20.9,-2.8,-0.16,-0.01
ESP-La Liga,2324,Osasuna,Aitor Fernández,ESP,GK,32-273,1991,4,281,70,14.9,3.1,3,90,3,1,11,16,0.6,4,10,-6,-1.92,-1.92,3.9,5.1,-1.2,-0.38,-0.25
ESP-La Liga,2324,Osasuna,Ante Budimir,CRO,FW,32-193,1991,21,1562,74,82.6,17.4,18,83,7,3,23,0,1.24,23,27,-4,-0.23,0.32,20.3,20.4,-0.1,-0.01,0.9
